-----------
Timer report 0 (3088 timers)
--------------
[0] root 27.66070 100.0% 1 31748937424 1147.8 MFlops 
   [1] EBINS::run 24.21186 87.5% 1 31747657424 1311.2 MFlops 
      [2] EBINS::advanceVelocityAndPressure 23.28046 84.2% 10 31092073960 1335.5 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 12.04724 43.6% 10 21585610320 1791.7 MFlops 
            [4] EBMultigrid::solve 12.04129 43.5% 30 21580695120 1792.2 MFlops 
               [5] sgmg::vcycle 11.18302 40.4% 90 20185756560 1805.0 MFlops 
                  [6] sgmglevel::vcycle 11.18299 40.4% 90 20185756560 1805.0 MFlops 
                     [7] EBPoissonOp::relax 8.42327 30.5% 180 16693182720 1981.8 MFlops 
                                                      [1253] DistributedData constructor 0.00116  0.0% 4860 0    0.0 MFlops 
                                                [1083] ebforall_i 0.00201  0.0% 4860 0    0.0 MFlops 
                                                   [1118] protoForall_i 0.00172  0.0% 4860 0    0.0 MFlops 
                                                      [1191] BoxData::makevars_i 0.00135  0.0% 4860 0    0.0 MFlops 
                                                         [1278] indexer_i 0.00104  0.0% 4860 0    0.0 MFlops 
                                                [1101] EBStencil::apply 0.00186  0.0% 4860 1399680  754.0 MFlops 
                                                   [1140] EBStencil::applyITZ 0.00156  0.0% 4860 1399680  895.8 MFlops 
                                                      [1366] AggSten::apply 0.00068  0.0% 4860 1399680 2069.0 MFlops 
                                                      [1493] Stencil::apply 0.00043  0.0% 4860 0    0.0 MFlops 
                                                         [1752] Stencil::protoApply 0.00013  0.0% 4860 0    0.0 MFlops 
                                             [1065] ebforall 0.00218  0.0% 4860 0    0.0 MFlops 
                                                [1098] forallInPlaceBase 0.00188  0.0% 4860 0    0.0 MFlops 
                                                   [1133] protoForall 0.00159  0.0% 4860 0    0.0 MFlops 
                                                      [1224] BoxData::makevars 0.00125  0.0% 4860 0    0.0 MFlops 
                                                         [1299] indexer 0.00096  0.0% 4860 0    0.0 MFlops 
                                          [379] BoxData::setVal 0.04351  0.2% 4860 4860000  111.7 MFlops 
                                             [381] BoxData::operator 0.04321  0.2% 4860 4860000  112.5 MFlops 
                                                [1690] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00017  0.0% 4860 0    0.0 MFlops 
                                          [1050] ebforall_i 0.00232  0.0% 4860 0    0.0 MFlops 
                                             [1079] protoForall_i 0.00203  0.0% 4860 0    0.0 MFlops 
                                                [1117] BoxData::makevars_i 0.00172  0.0% 4860 0    0.0 MFlops 
                                                   [1194] indexer_i 0.00135  0.0% 4860 0    0.0 MFlops 
                                    [1052] EBPoissonOp::residual 0.00230  0.0% 180 231840  100.6 MFlops 
                                       [1131] BoxData::setVal 0.00161  0.0% 180 180000  111.6 MFlops 
                                          [1132] BoxData::operator 0.00160  0.0% 180 180000  112.4 MFlops 
                                             [2441] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00001  0.0% 180 0    0.0 MFlops 
                                       [1417] EBMultigrid::applyOp 0.00056  0.0% 180 51840   92.8 MFlops 
                                          [1558] EBLevelBoxData::exchange 0.00032  0.0% 180 0    0.0 MFlops 
                                             [1561] EBLevelBoxData::exchangeCPUOnly 0.00030  0.0% 180 0    0.0 MFlops 
                                                [1855] DistributedData::exchange 0.00008  0.0% 180 0    0.0 MFlops 
                                                   [2138] DistributedData::communicate 0.00003  0.0% 180 0    0.0 MFlops 
                                                      [2260] DistributedData::doLocalCopies 0.00002  0.0% 180 0    0.0 MFlops 
                                                         [2491] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 180 0    0.0 MFlops 
                                                   [2235] BoxPattern::exchange constructor 0.00002  0.0% 180 0    0.0 MFlops 
                                                   [2483] CommunicationMetaData constructor 0.00001  0.0% 180 0    0.0 MFlops 
                                                [2033] DistributedData constructor 0.00005  0.0% 180 0    0.0 MFlops 
                                          [1875] ebforall_i 0.00007  0.0% 180 0    0.0 MFlops 
                                             [1919] protoForall_i 0.00006  0.0% 180 0    0.0 MFlops 
                                                [1999] BoxData::makevars_i 0.00005  0.0% 180 0    0.0 MFlops 
                                                   [2069] indexer_i 0.00004  0.0% 180 0    0.0 MFlops 
