-----------
Timer report 0 (3408 timers)
--------------
[0] root 7.12166 100.0% 1 18536020952 2602.8 MFlops 
   [1] EBINS::define 4.22517 59.3% 1 128000    0.0 MFlops 
      [4] EBPoissonOp::define 2.24569 31.5% 2 0    0.0 MFlops 
         [5] get2ndOrderDivFStencil 1.78254 25.0% 131072 0    0.0 MFlops 
                     [2232] forallInPlaceBase 0.00003  0.0% 2 0    0.0 MFlops 
                        [2237] protoForall 0.00003  0.0% 2 0    0.0 MFlops 
                           [2255] BoxData::makevars 0.00003  0.0% 2 0    0.0 MFlops 
                              [2262] indexer 0.00003  0.0% 2 0    0.0 MFlops 
                  [3037] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                  [3116] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                     [3349] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
               [2249] DistributedData constructor 0.00003  0.0% 6 0    0.0 MFlops 
                  [3108] EBGraph::getIrregVoFs 0.00000  0.0% 6 0    0.0 MFlops 
                     [3299] EBGraph::getIrregCells 0.00000  0.0% 6 0    0.0 MFlops 
               [3117] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                  [3311] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
               [3129] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
            [2607] DistributedData constructor 0.00001  0.0% 4 0    0.0 MFlops 
               [3164] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                  [3334] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
         [85] AggSten.constructor 0.09424  1.3% 4 0    0.0 MFlops 
            [2986] EBGraph::getIrregVoFs 0.00000  0.0% 8 0    0.0 MFlops 
               [3277] EBGraph::getIrregCells 0.00000  0.0% 8 0    0.0 MFlops 
         [452] HostBoxData::setval 0.00371  0.1% 4 0    0.0 MFlops 
         [1052] EBPoissonOp::fillkappa 0.00065  0.0% 2 0    0.0 MFlops 
            [1403] EBLevelBoxData::exchange 0.00022  0.0% 2 0    0.0 MFlops 
               [1405] EBLevelBoxData::exchangeWithGPU 0.00022  0.0% 2 0    0.0 MFlops 
                  [1744] EBLevelBoxData::copyToHost 0.00013  0.0% 2 0    0.0 MFlops 
                  [1995] EBLevelBoxData::copyToDevice 0.00007  0.0% 2 0    0.0 MFlops 
                  [2605] DistributedData constructor 0.00001  0.0% 2 0    0.0 MFlops 
                     [3141] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                        [3354] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                     [3148] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                  [2690] DistributedData::exchange 0.00001  0.0% 2 0    0.0 MFlops 
                     [2859] BoxPattern::exchange constructor 0.00000  0.0% 2 0    0.0 MFlops 
                     [3149] DistributedData::communicate 0.00000  0.0% 2 0    0.0 MFlops 
                        [3216] DistributedData::doLocalCopies 0.00000  0.0% 2 0    0.0 MFlops 
                           [3344] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 2 0    0.0 MFlops 
                     [3371] CommunicationMetaData constructor 0.00000  0.0% 2 0    0.0 MFlops 
            [2044] ebforall 0.00006  0.0% 2 0    0.0 MFlops 
               [2046] forallInPlaceBase 0.00006  0.0% 2 0    0.0 MFlops 
                  [2048] protoForall 0.00006  0.0% 2 0    0.0 MFlops 
                     [2053] BoxData::makevars 0.00005  0.0% 2 0    0.0 MFlops 
                        [2055] indexer 0.00005  0.0% 2 0    0.0 MFlops 
            [2873] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
            [3138] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
               [3348] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
         [1770] DistributedData constructor 0.00011  0.0% 6 0    0.0 MFlops 
            [3111] EBGraph::getIrregVoFs 0.00000  0.0% 6 0    0.0 MFlops 
               [3303] EBGraph::getIrregCells 0.00000  0.0% 6 0    0.0 MFlops 
         [2941] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 4 0    0.0 MFlops 
         [3001] EBGraph::getIrregVoFs 0.00000  0.0% 8 0    0.0 MFlops 
            [3267] EBGraph::getIrregCells 0.00000  0.0% 8 0    0.0 MFlops 
      [10] EBCCProjector::define 0.88625 12.4% 1 0    0.0 MFlops 
         [14] EBMACProjector::define 0.79928 11.2% 1 0    0.0 MFlops 
            [15] EBMACProjector::defineInternals 0.79927 11.2% 1 0    0.0 MFlops 
               [20] EBPoissonOp::define 0.71327 10.0% 1 0    0.0 MFlops 
                  [21] get2ndOrderDivFStencil 0.55156  7.7% 65536 0    0.0 MFlops 
                     [92] EBGraph::isConnected 0.08548  1.2% 1453032 0    0.0 MFlops 
                  [86] EBPoissonOp::defineCoarser 0.09315  1.3% 1 0    0.0 MFlops 
                     [87] EBPoissonOp::constructor 0.09313  1.3% 1 0    0.0 MFlops 
                        [175] get2ndOrderDivFStencil 0.03234  0.5% 4096 0    0.0 MFlops 
                           [400] EBGraph::isConnected 0.00498  0.1% 83700 0    0.0 MFlops 
                        [226] AggSten.constructor 0.01386  0.2% 10 0    0.0 MFlops 
                           [2860] EBGraph::getIrregVoFs 0.00000  0.0% 20 0    0.0 MFlops 
                              [3139] EBGraph::getIrregCells 0.00000  0.0% 20 0    0.0 MFlops 
