-----------
Timer report 0 (4883 timers)
--------------
[0] root 4678.00485 100.0% 1 206066009118   44.0 MFlops 
   [1] EBINS::run 4659.95578 99.6% 1 206064626718   44.2 MFlops 
                                                         [906] EBLevelBoxData::exchangeCPUOnly 2.15077  0.0% 291600 0    0.0 MFlops 
                                                      [1147] ebforall_i 1.10439  0.0% 291600 0    0.0 MFlops 
                                                         [1176] protoForall_i 0.98886  0.0% 291600 0    0.0 MFlops 
                                                      [1745] EBStencil::apply 0.34496  0.0% 291600 13996800   40.6 MFlops 
                                                         [1811] EBStencil::applyITZ 0.29789  0.0% 291600 13996800   47.0 MFlops 
                                                   [1289] ebforall 0.78352  0.0% 291600 0    0.0 MFlops 
                                                      [1354] forallInPlaceBase 0.69175  0.0% 291600 0    0.0 MFlops 
                                                         [1378] protoForall 0.64116  0.0% 291600 0    0.0 MFlops 
                                                [650] BoxData::setVal 4.68208  0.1% 291600 29160000    6.2 MFlops 
                                                   [658] BoxData::operator 4.63121  0.1% 291600 29160000    6.3 MFlops 
                                                      [2257] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.13671  0.0% 291600 0    0.0 MFlops 
                                                [1069] ebforall_i 1.36509  0.0% 291600 0    0.0 MFlops 
                                                   [1111] protoForall_i 1.21977  0.0% 291600 0    0.0 MFlops 
                                                      [1338] BoxData::makevars_i 0.72581  0.0% 291600 0    0.0 MFlops 
                                                         [1383] indexer_i 0.63083  0.0% 291600 0    0.0 MFlops 
                                          [1678] EBPoissonOp::residual 0.39230  0.0% 10800 1598400    4.1 MFlops 
                                             [2110] BoxData::setVal 0.17243  0.0% 10800 1080000    6.3 MFlops 
                                                [2117] BoxData::operator 0.17056  0.0% 10800 1080000    6.3 MFlops 
                                                   [3499] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00502  0.0% 10800 0    0.0 MFlops 
                                             [2125] EBMultigrid::applyOp 0.16833  0.0% 10800 518400    3.1 MFlops 
                                                [2476] EBLevelBoxData::exchange 0.08402  0.0% 10800 0    0.0 MFlops 
                                                   [2480] EBLevelBoxData::exchangeCPUOnly 0.08248  0.0% 10800 0    0.0 MFlops 
                                                      [2817] DistributedData constructor 0.03631  0.0% 10800 0    0.0 MFlops 
                                                      [2919] DistributedData::exchange 0.02550  0.0% 10800 0    0.0 MFlops 
                                                         [3177] BoxPattern::exchange constructor 0.01206  0.0% 10800 0    0.0 MFlops 
                                                         [3590] DistributedData::communicate 0.00378  0.0% 10800 0    0.0 MFlops 
                                                         [4112] CommunicationMetaData constructor 0.00044  0.0% 10800 0    0.0 MFlops 
                                                [2765] ebforall_i 0.04147  0.0% 10800 0    0.0 MFlops 
                                                   [2809] protoForall_i 0.03696  0.0% 10800 0    0.0 MFlops 
                                                      [2973] BoxData::makevars_i 0.02262  0.0% 10800 0    0.0 MFlops 
                                                         [3038] indexer_i 0.01888  0.0% 10800 0    0.0 MFlops 
                                                [3151] EBStencil::apply 0.01298  0.0% 10800 518400   39.9 MFlops 
                                                   [3209] EBStencil::applyITZ 0.01117  0.0% 10800 518400   46.4 MFlops 
                                                      [3357] AggSten::apply 0.00757  0.0% 10800 518400   68.5 MFlops 
                                             [2888] ebforall 0.02919  0.0% 10800 0    0.0 MFlops 
                                                [2917] forallInPlaceBase 0.02566  0.0% 10800 0    0.0 MFlops 
                                                   [2949] protoForall 0.02376  0.0% 10800 0    0.0 MFlops 
                                                      [3115] BoxData::makevars 0.01417  0.0% 10800 0    0.0 MFlops 
                                                         [3171] indexer 0.01237  0.0% 10800 0    0.0 MFlops 
                                          [1938] EBLevelBoxData::maxNorm 0.24465  0.0% 10800 0    0.0 MFlops 
                                             [2325] DistributedData constructor 0.11771  0.0% 10800 0    0.0 MFlops 
                                                [2676] EBGraph::getIrregVoFs 0.05414  0.0% 10800 0    0.0 MFlops 
                                                   [2993] EBGraph::getIrregCells 0.02122  0.0% 10800 0    0.0 MFlops 
                                                [3284] HostBoxData::define(Box) (memory allocation) 0.00948  0.0% 10800 0    0.0 MFlops 
                                             [3255] EBLevelBoxData::copyToHost 0.00990  0.0% 10800 0    0.0 MFlops 
                                          [2092] BoxData::setVal 0.17755  0.0% 10800 1080000    6.1 MFlops 
                                             [2096] BoxData::operator 0.17563  0.0% 10800 1080000    6.1 MFlops 
                                                [3405] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00629  0.0% 10800 0    0.0 MFlops 
                                          [3646] BoxData::operator+= 0.00305  0.0% 5400 540000  176.9 MFlops 
                                             [3731] BoxData::operator(BoxData&) 0.00216  0.0% 5400 540000  249.7 MFlops 
                                       [629] EBPoissonOp::relax 5.09934  0.1% 10800 21427200    4.2 MFlops 
                                          [774] EBPoissonOp::residual 3.11182  0.1% 86400 12787200    4.1 MFlops 
                                             [1057] BoxData::setVal 1.37996  0.0% 86400 8640000    6.3 MFlops 
                                                [1068] BoxData::operator 1.36520  0.0% 86400 8640000    6.3 MFlops 
                                                   [2782] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.03925  0.0% 86400 0    0.0 MFlops 
                                             [1080] EBMultigrid::applyOp 1.32726  0.0% 86400 4147200    3.1 MFlops 
                                                [1375] EBLevelBoxData::exchange 0.65186  0.0% 86400 0    0.0 MFlops 
                                                   [1379] EBLevelBoxData::exchangeCPUOnly 0.63959  0.0% 86400 0    0.0 MFlops 
                                                      [1858] DistributedData constructor 0.28058  0.0% 86400 0    0.0 MFlops 
                                                      [2036] DistributedData::exchange 0.19744  0.0% 86400 0    0.0 MFlops 
                                                         [2424] BoxPattern::exchange constructor 0.09524  0.0% 86400 0    0.0 MFlops 
                                                         [2875] DistributedData::communicate 0.03029  0.0% 86400 0    0.0 MFlops 
                                                         [3611] CommunicationMetaData constructor 0.00351  0.0% 86400 0    0.0 MFlops 
                                                [1766] ebforall_i 0.33074  0.0% 86400 0    0.0 MFlops 
                                                   [1822] protoForall_i 0.29493  0.0% 86400 0    0.0 MFlops 
                                                      [2076] BoxData::makevars_i 0.18058  0.0% 86400 0    0.0 MFlops 
                                                         [2187] indexer_i 0.15091  0.0% 86400 0    0.0 MFlops 
                                                [2359] EBStencil::apply 0.10636  0.0% 86400 4147200   39.0 MFlops 
                                                   [2437] EBStencil::applyITZ 0.09237  0.0% 86400 4147200   44.9 MFlops 
                                                      [2624] AggSten::apply 0.06242  0.0% 86400 4147200   66.4 MFlops 
                                             [1956] ebforall 0.23305  0.0% 86400 0    0.0 MFlops 
                                                [2023] forallInPlaceBase 0.20511  0.0% 86400 0    0.0 MFlops 
                                                   [2048] protoForall 0.19019  0.0% 86400 0    0.0 MFlops 
                                                      [2339] BoxData::makevars 0.11360  0.0% 86400 0    0.0 MFlops 
                                                         [2400] indexer 0.09934  0.0% 86400 0    0.0 MFlops 
                                          [1049] BoxData::setVal 1.38946  0.0% 86400 8640000    6.2 MFlops 
                                             [1060] BoxData::operator 1.37476  0.0% 86400 8640000    6.3 MFlops 
                                                [2760] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.04195  0.0% 86400 0    0.0 MFlops 
                                          [1668] ebforall_i 0.40823  0.0% 86400 0    0.0 MFlops 
                                             [1725] protoForall_i 0.36426  0.0% 86400 0    0.0 MFlops 
                                                [1997] BoxData::makevars_i 0.21756  0.0% 86400 0    0.0 MFlops 
                                                   [2050] indexer_i 0.18944  0.0% 86400 0    0.0 MFlops 
                                    [568] EBPoissonOp::relax 6.68630  0.1% 10800 75686400   11.3 MFlops 
                                       [706] EBPoissonOp::residual 3.96272  0.1% 86400 63244800   16.0 MFlops 
                                          [934] BoxData::setVal 1.92855  0.0% 86400 12441600    6.5 MFlops 
                                             [942] BoxData::operator 1.91332  0.0% 86400 12441600    6.5 MFlops 
                                                [2781] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.03930  0.0% 86400 0    0.0 MFlops 
                                          [1019] EBMultigrid::applyOp 1.55752  0.0% 86400 50803200   32.6 MFlops 
                                             [1361] EBLevelBoxData::exchange 0.66949  0.0% 86400 0    0.0 MFlops 
                                                [1371] EBLevelBoxData::exchangeCPUOnly 0.65691  0.0% 86400 0    0.0 MFlops 
                                                   [1833] DistributedData constructor 0.29051  0.0% 86400 0    0.0 MFlops 
                                                   [2034] DistributedData::exchange 0.20072  0.0% 86400 0    0.0 MFlops 
                                                      [2417] BoxPattern::exchange constructor 0.09640  0.0% 86400 0    0.0 MFlops 
                                                      [2873] DistributedData::communicate 0.03059  0.0% 86400 0    0.0 MFlops 
                                                         [3077] DistributedData::doLocalCopies 0.01614  0.0% 86400 0    0.0 MFlops 
                                                      [3602] CommunicationMetaData constructor 0.00361  0.0% 86400 0    0.0 MFlops 
                                             [1593] ebforall_i 0.45965  0.0% 86400 0    0.0 MFlops 
                                                [1652] protoForall_i 0.42190  0.0% 86400 0    0.0 MFlops 
                                                   [1795] BoxData::makevars_i 0.30772  0.0% 86400 0    0.0 MFlops 
                                                      [1868] indexer_i 0.27778  0.0% 86400 0    0.0 MFlops 
                                             [2058] EBStencil::apply 0.18642  0.0% 86400 50803200  272.5 MFlops 
                                                [2109] EBStencil::applyITZ 0.17245  0.0% 86400 50803200  294.6 MFlops 
                                                   [2234] AggSten::apply 0.14213  0.0% 86400 50803200  357.4 MFlops 
                                          [1802] ebforall 0.30334  0.0% 86400 0    0.0 MFlops 
                                             [1873] forallInPlaceBase 0.27531  0.0% 86400 0    0.0 MFlops 
                                                [1911] protoForall 0.26024  0.0% 86400 0    0.0 MFlops 
                                                   [2072] BoxData::makevars 0.18315  0.0% 86400 0    0.0 MFlops 
                                                      [2123] indexer 0.16866  0.0% 86400 0    0.0 MFlops 
                                       [931] BoxData::setVal 1.93677  0.0% 86400 12441600    6.4 MFlops 
                                          [938] BoxData::operator 1.92125  0.0% 86400 12441600    6.5 MFlops 
                                             [2762] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.04178  0.0% 86400 0    0.0 MFlops 
                                       [1405] ebforall_i 0.59518  0.0% 86400 0    0.0 MFlops 
                                          [1476] protoForall_i 0.54897  0.0% 86400 0    0.0 MFlops 
                                             [1674] BoxData::makevars_i 0.40180  0.0% 86400 0    0.0 MFlops 
                                                [1705] indexer_i 0.37324  0.0% 86400 0    0.0 MFlops 
                                    [1343] EBPoissonOp::prolong 0.71413  0.0% 5400 7257600   10.2 MFlops 
                                       [1344] EBPoissonOp::prolong 0.70745  0.0% 5400 7257600   10.3 MFlops 
                                          [1353] EBStencil::apply 0.69411  0.0% 21600 7257600   10.5 MFlops 
                                             [1561] BoxData::setVal 0.48641  0.0% 21600 3110400    6.4 MFlops 
                                                [1567] BoxData::operator 0.48196  0.0% 21600 3110400    6.5 MFlops 
                                                   [3238] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.01026  0.0% 21600 0    0.0 MFlops 
                                             [2638] EBGraph::getIrregVoFs 0.05933  0.0% 21600 0    0.0 MFlops 
                                                [2998] EBGraph::getIrregCells 0.02069  0.0% 21600 0    0.0 MFlops 
                                             [2787] EBStencil::applyITZ 0.03901  0.0% 21600 1036800   26.6 MFlops 
                                                [2896] AggSten::apply 0.02767  0.0% 21600 1036800   37.5 MFlops 
                                             [3191] BoxData::operator+= 0.01150  0.0% 21600 3110400  270.4 MFlops 
                                                [3332] BoxData::operator(BoxData&) 0.00823  0.0% 21600 3110400  378.0 MFlops 
                                    [1933] EBPoissonOp::residual 0.24749  0.0% 5400 3952800   16.0 MFlops 
                                       [2315] BoxData::setVal 0.12072  0.0% 5400 777600    6.4 MFlops 
                                          [2319] BoxData::operator 0.11978  0.0% 5400 777600    6.5 MFlops 
                                             [3686] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00257  0.0% 5400 0    0.0 MFlops 
                                       [2420] EBMultigrid::applyOp 0.09575  0.0% 5400 3175200   33.2 MFlops 
                                          [2768] EBLevelBoxData::exchange 0.04084  0.0% 5400 0    0.0 MFlops 
                                             [2776] EBLevelBoxData::exchangeCPUOnly 0.04004  0.0% 5400 0    0.0 MFlops 
                                                [3058] DistributedData constructor 0.01748  0.0% 5400 0    0.0 MFlops 
                                                [3165] DistributedData::exchange 0.01254  0.0% 5400 0    0.0 MFlops 
                                                   [3429] BoxPattern::exchange constructor 0.00589  0.0% 5400 0    0.0 MFlops 
                                                   [3744] DistributedData::communicate 0.00192  0.0% 5400 0    0.0 MFlops 
                                                      [3890] DistributedData::doLocalCopies 0.00101  0.0% 5400 0    0.0 MFlops 
                                                         [4233] DistributedData::doLocalCopiesWithCopy 0.00022  0.0% 5400 0    0.0 MFlops 
                                                   [4229] CommunicationMetaData constructor 0.00022  0.0% 5400 0    0.0 MFlops 
                                          [2892] ebforall_i 0.02842  0.0% 5400 0    0.0 MFlops 
                                             [2909] protoForall_i 0.02622  0.0% 5400 0    0.0 MFlops 
                                                [3032] BoxData::makevars_i 0.01913  0.0% 5400 0    0.0 MFlops 
                                                   [3061] indexer_i 0.01727  0.0% 5400 0    0.0 MFlops 
                                          [3203] EBStencil::apply 0.01124  0.0% 5400 3175200  282.6 MFlops 
                                             [3235] EBStencil::applyITZ 0.01032  0.0% 5400 3175200  307.6 MFlops 
                                                [3324] AggSten::apply 0.00848  0.0% 5400 3175200  374.2 MFlops 
                                       [3037] ebforall 0.01902  0.0% 5400 0    0.0 MFlops 
                                          [3060] forallInPlaceBase 0.01728  0.0% 5400 0    0.0 MFlops 
                                             [3075] protoForall 0.01630  0.0% 5400 0    0.0 MFlops 
                                                [3192] BoxData::makevars 0.01149  0.0% 5400 0    0.0 MFlops 
                                                   [3225] indexer 0.01057  0.0% 5400 0    0.0 MFlops 
                                    [2097] BoxData::setVal 0.17513  0.0% 10800 1080000    6.2 MFlops 
                                       [2102] BoxData::operator 0.17329  0.0% 10800 1080000    6.2 MFlops 
                                          [3459] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00542  0.0% 10800 0    0.0 MFlops 
                                    [2967] EBPoissonOp::restrict 0.02297  0.0% 5400 259200   11.3 MFlops 
