-----------
Timer report 0 (3550 timers)
--------------
[0] root 2443.78119 100.0% 1 311486647722  127.5 MFlops 
   [1] EBINS::run 2035.71966 83.3% 1 311479182762  153.0 MFlops 
      [2] EBINS::advanceVelocityAndPressure 1944.88850 79.6% 10 306559439232  157.6 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 896.60751 36.7% 10 230354807712  256.9 MFlops 
            [4] EBMultigrid::solve 896.03597 36.7% 30 230315486112  257.0 MFlops 
               [5] sgmg::vcycle 813.92177 33.3% 114 216226096416  265.7 MFlops 
                  [6] sgmglevel::vcycle 813.92160 33.3% 114 216226096416  265.7 MFlops 
                                             [1308] BoxData::operator 0.04082  0.0% 228 228000    5.6 MFlops 
                                                [2608] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00011  0.0% 228 0    0.0 MFlops 
                                          [1808] EBMultigrid::applyOp 0.00429  0.0% 228 65664   15.3 MFlops 
                                             [1982] EBLevelBoxData::exchange 0.00207  0.0% 228 0    0.0 MFlops 
                                                [1985] EBLevelBoxData::exchangeCPUOnly 0.00203  0.0% 228 0    0.0 MFlops 
                                                   [2212] DistributedData constructor 0.00066  0.0% 228 0    0.0 MFlops 
                                                   [2300] DistributedData::exchange 0.00049  0.0% 228 0    0.0 MFlops 
                                                      [2480] BoxPattern::exchange constructor 0.00023  0.0% 228 0    0.0 MFlops 
                                                      [2708] DistributedData::communicate 0.00007  0.0% 228 0    0.0 MFlops 
                                                         [2830] DistributedData::doLocalCopies 0.00004  0.0% 228 0    0.0 MFlops 
                                                      [3059] CommunicationMetaData constructor 0.00001  0.0% 228 0    0.0 MFlops 
                                             [2078] ebforall_i 0.00121  0.0% 228 0    0.0 MFlops 
                                                [2086] protoForall_i 0.00114  0.0% 228 0    0.0 MFlops 
                                                   [2157] BoxData::makevars_i 0.00079  0.0% 228 0    0.0 MFlops 
                                                      [2189] indexer_i 0.00071  0.0% 228 0    0.0 MFlops 
                                             [2333] EBStencil::apply 0.00041  0.0% 228 65664  158.4 MFlops 
                                                [2356] EBStencil::applyITZ 0.00038  0.0% 228 65664  171.0 MFlops 
                                                   [2460] AggSten::apply 0.00025  0.0% 228 65664  259.5 MFlops 
                                                   [2824] Stencil::apply 0.00004  0.0% 228 0    0.0 MFlops 
                                                      [3076] Stencil::protoApply 0.00001  0.0% 228 0    0.0 MFlops 
                                          [2151] ebforall 0.00083  0.0% 228 0    0.0 MFlops 
                                             [2173] forallInPlaceBase 0.00077  0.0% 228 0    0.0 MFlops 
                                                [2183] protoForall 0.00073  0.0% 228 0    0.0 MFlops 
                                                   [2291] BoxData::makevars 0.00049  0.0% 228 0    0.0 MFlops 
                                                      [2315] indexer 0.00045  0.0% 228 0    0.0 MFlops 
                                       [1309] BoxData::setVal 0.04081  0.0% 228 228000    5.6 MFlops 
                                          [1312] BoxData::operator 0.04078  0.0% 228 228000    5.6 MFlops 
                                             [2575] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00014  0.0% 228 0    0.0 MFlops 
                                       [1697] EBLevelBoxData::maxNorm 0.00823  0.0% 228 0    0.0 MFlops 
                                          [1886] DistributedData constructor 0.00306  0.0% 228 0    0.0 MFlops 
                                             [2295] HostBoxData::define(Box) (memory allocation) 0.00049  0.0% 228 0    0.0 MFlops 
                                             [2491] EBGraph::getIrregVoFs 0.00022  0.0% 228 0    0.0 MFlops 
                                                [2847] EBGraph::getIrregCells 0.00004  0.0% 228 0    0.0 MFlops 
                                          [2319] EBLevelBoxData::copyToHost 0.00045  0.0% 228 0    0.0 MFlops 
                                       [2441] BoxData::operator+= 0.00028  0.0% 114 114000  408.5 MFlops 
                                          [2457] BoxData::operator(BoxData&) 0.00026  0.0% 114 114000  444.8 MFlops 
                                    [670] EBPoissonOp::relax 0.71398  0.0% 228 4173312    5.8 MFlops 
                                       [832] EBPoissonOp::residual 0.36640  0.0% 1824 2349312    6.4 MFlops 
                                          [870] BoxData::setVal 0.32616  0.0% 1824 1824000    5.6 MFlops 
                                             [871] BoxData::operator 0.32591  0.0% 1824 1824000    5.6 MFlops 
                                                [2138] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00090  0.0% 1824 0    0.0 MFlops 
                                          [1373] EBMultigrid::applyOp 0.03001  0.0% 1824 525312   17.5 MFlops 
                                             [1627] EBLevelBoxData::exchange 0.01210  0.0% 1824 0    0.0 MFlops 
                                                [1631] EBLevelBoxData::exchangeCPUOnly 0.01185  0.0% 1824 0    0.0 MFlops 
                                                   [1775] DistributedData constructor 0.00524  0.0% 1824 0    0.0 MFlops 
                                                   [1839] DistributedData::exchange 0.00375  0.0% 1824 0    0.0 MFlops 
                                                      [1998] BoxPattern::exchange constructor 0.00182  0.0% 1824 0    0.0 MFlops 
                                                      [2261] DistributedData::communicate 0.00056  0.0% 1824 0    0.0 MFlops 
                                                         [2400] DistributedData::doLocalCopies 0.00032  0.0% 1824 0    0.0 MFlops 
                                                      [2677] CommunicationMetaData constructor 0.00008  0.0% 1824 0    0.0 MFlops 
                                             [1667] ebforall_i 0.00971  0.0% 1824 0    0.0 MFlops 
                                                [1672] protoForall_i 0.00912  0.0% 1824 0    0.0 MFlops 
                                                   [1743] BoxData::makevars_i 0.00635  0.0% 1824 0    0.0 MFlops 
                                                      [1763] indexer_i 0.00569  0.0% 1824 0    0.0 MFlops 
                                             [1849] EBStencil::apply 0.00351  0.0% 1824 525312  149.6 MFlops 
                                                [1864] EBStencil::applyITZ 0.00328  0.0% 1824 525312  160.0 MFlops 
                                                   [1974] AggSten::apply 0.00217  0.0% 1824 525312  241.8 MFlops 
                                                   [2389] Stencil::apply 0.00033  0.0% 1824 0    0.0 MFlops 
                                                      [2609] Stencil::protoApply 0.00011  0.0% 1824 0    0.0 MFlops 
                                          [1734] ebforall 0.00658  0.0% 1824 0    0.0 MFlops 
                                             [1751] forallInPlaceBase 0.00611  0.0% 1824 0    0.0 MFlops 
                                                [1761] protoForall 0.00580  0.0% 1824 0    0.0 MFlops 
                                                   [1835] BoxData::makevars 0.00393  0.0% 1824 0    0.0 MFlops 
                                                      [1844] indexer 0.00361  0.0% 1824 0    0.0 MFlops 
                                       [866] BoxData::setVal 0.32684  0.0% 1824 1824000    5.6 MFlops 
                                          [869] BoxData::operator 0.32657  0.0% 1824 1824000    5.6 MFlops 
                                             [2127] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00094  0.0% 1824 0    0.0 MFlops 
                                       [1630] ebforall_i 0.01202  0.0% 1824 0    0.0 MFlops 
                                          [1641] protoForall_i 0.01138  0.0% 1824 0    0.0 MFlops 
                                             [1707] BoxData::makevars_i 0.00782  0.0% 1824 0    0.0 MFlops 
                                                [1724] indexer_i 0.00722  0.0% 1824 0    0.0 MFlops 
                                 [564] EBPoissonOp::relax 1.29026  0.1% 228 23157504   17.9 MFlops 
                                    [675] EBPoissonOp::residual 0.68883  0.0% 1824 20005632   29.0 MFlops 
                                       [734] BoxData::setVal 0.55966  0.0% 1824 3151872    5.6 MFlops 
                                          [736] BoxData::operator 0.55941  0.0% 1824 3151872    5.6 MFlops 
                                             [2140] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00090  0.0% 1824 0    0.0 MFlops 
                                       [1108] EBMultigrid::applyOp 0.11033  0.0% 1824 16853760  152.8 MFlops 
                                          [1238] EBStencil::apply 0.06740  0.0% 1824 16853760  250.1 MFlops 
                                             [1239] EBStencil::applyITZ 0.06716  0.0% 1824 16853760  251.0 MFlops 
                                                [1305] Stencil::apply 0.04105  0.0% 1824 218880    5.3 MFlops 
                                                   [1307] Stencil::protoApply 0.04083  0.0% 1824 218880    5.4 MFlops 
                                                      [1314] Stencil::hostApply 0.04049  0.0% 1824 0    0.0 MFlops 
                                                [1419] AggSten::apply 0.02526  0.0% 1824 16634880  658.5 MFlops 
                                          [1422] ebforall_i 0.02508  0.0% 1824 0    0.0 MFlops 
                                             [1425] protoForall_i 0.02448  0.0% 1824 0    0.0 MFlops 
                                                [1474] BoxData::makevars_i 0.02170  0.0% 1824 0    0.0 MFlops 
                                                   [1483] indexer_i 0.02107  0.0% 1824 0    0.0 MFlops 
                                          [1605] EBLevelBoxData::exchange 0.01279  0.0% 1824 0    0.0 MFlops 
                                             [1610] EBLevelBoxData::exchangeCPUOnly 0.01253  0.0% 1824 0    0.0 MFlops 
                                                [1765] DistributedData constructor 0.00560  0.0% 1824 0    0.0 MFlops 
                                                [1836] DistributedData::exchange 0.00389  0.0% 1824 0    0.0 MFlops 
                                                   [1993] BoxPattern::exchange constructor 0.00188  0.0% 1824 0    0.0 MFlops 
                                                   [2264] DistributedData::communicate 0.00056  0.0% 1824 0    0.0 MFlops 
                                                      [2391] DistributedData::doLocalCopies 0.00033  0.0% 1824 0    0.0 MFlops 
                                                         [2636] DistributedData::doLocalCopiesWithCopy 0.00009  0.0% 1824 0    0.0 MFlops 
                                                   [2669] CommunicationMetaData constructor 0.00008  0.0% 1824 0    0.0 MFlops 
                                       [1562] ebforall 0.01512  0.0% 1824 0    0.0 MFlops 
                                          [1584] forallInPlaceBase 0.01463  0.0% 1824 0    0.0 MFlops 
                                             [1590] protoForall 0.01431  0.0% 1824 0    0.0 MFlops 
                                                [1615] BoxData::makevars 0.01242  0.0% 1824 0    0.0 MFlops 
                                                   [1628] indexer 0.01210  0.0% 1824 0    0.0 MFlops 
                                    [733] BoxData::setVal 0.55990  0.0% 1824 3151872    5.6 MFlops 
                                       [735] BoxData::operator 0.55962  0.0% 1824 3151872    5.6 MFlops 
                                          [2117] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00095  0.0% 1824 0    0.0 MFlops 
                                    [1356] ebforall_i 0.03272  0.0% 1824 0    0.0 MFlops 
                                       [1358] protoForall_i 0.03205  0.0% 1824 0    0.0 MFlops 
                                          [1400] BoxData::makevars_i 0.02847  0.0% 1824 0    0.0 MFlops 
                                             [1405] indexer_i 0.02787  0.0% 1824 0    0.0 MFlops 
                                 [896] EBPoissonOp::prolong 0.29029  0.0% 114 3326976   11.5 MFlops 
                                    [897] EBPoissonOp::prolong 0.29016  0.0% 114 3326976   11.5 MFlops 
                                       [899] EBStencil::apply 0.28968  0.0% 912 3326976   11.5 MFlops 
                                          [903] BoxData::setVal 0.28000  0.0% 912 1575936    5.6 MFlops 
                                             [904] BoxData::operator 0.27984  0.0% 912 1575936    5.6 MFlops 
                                                [2318] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00045  0.0% 912 0    0.0 MFlops 
                                          [1884] EBStencil::applyITZ 0.00308  0.0% 912 175104   56.9 MFlops 
                                             [1948] AggSten::apply 0.00243  0.0% 912 175104   72.1 MFlops 
                                          [1910] BoxData::operator+= 0.00271  0.0% 912 1575936  581.1 MFlops 
                                             [1923] BoxData::operator(BoxData&) 0.00259  0.0% 912 1575936  607.6 MFlops 
                                          [2326] EBGraph::getIrregVoFs 0.00044  0.0% 912 0    0.0 MFlops 
                                             [2751] EBGraph::getIrregCells 0.00006  0.0% 912 0    0.0 MFlops 
                                 [1304] EBPoissonOp::residual 0.04291  0.0% 114 1250352   29.1 MFlops 
                                    [1348] BoxData::setVal 0.03494  0.0% 114 196992    5.6 MFlops 
                                       [1349] BoxData::operator 0.03492  0.0% 114 196992    5.6 MFlops 
                                          [2772] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00006  0.0% 114 0    0.0 MFlops 
                                    [1732] EBMultigrid::applyOp 0.00677  0.0% 114 1053360  155.6 MFlops 
                                       [1825] EBStencil::apply 0.00411  0.0% 114 1053360  256.4 MFlops 
                                          [1827] EBStencil::applyITZ 0.00409  0.0% 114 1053360  257.3 MFlops 
                                             [1929] Stencil::apply 0.00255  0.0% 114 13680    5.4 MFlops 
                                                [1930] Stencil::protoApply 0.00253  0.0% 114 13680    5.4 MFlops 
                                                   [1934] Stencil::hostApply 0.00251  0.0% 114 0    0.0 MFlops 
                                             [2041] AggSten::apply 0.00149  0.0% 114 1039680  696.0 MFlops 
                                       [2025] ebforall_i 0.00156  0.0% 114 0    0.0 MFlops 
                                          [2032] protoForall_i 0.00152  0.0% 114 0    0.0 MFlops 
                                             [2060] BoxData::makevars_i 0.00135  0.0% 114 0    0.0 MFlops 
                                                [2069] indexer_i 0.00131  0.0% 114 0    0.0 MFlops 
