-----------
Timer report 0 (4410 timers)
--------------
[0] root 4296.69593 100.0% 1 147010383480   34.2 MFlops 
   [1] EBINS::run 4292.78935 99.9% 1 147010037880   34.2 MFlops 
                                             [513] ebforall 3.49005  0.1% 1382400 0    0.0 MFlops 
                                                [532] forallInPlaceBase 3.10308  0.1% 1382400 0    0.0 MFlops 
                                                   [539] protoForall 2.87663  0.1% 1382400 0    0.0 MFlops 
                                                      [660] BoxData::makevars 1.70825  0.0% 1382400 0    0.0 MFlops 
                                                         [705] indexer 1.40016  0.0% 1382400 0    0.0 MFlops 
                                          [242] BoxData::setVal 19.67829  0.5% 1382400 138240000    7.0 MFlops 
                                             [246] BoxData::operator 19.47007  0.5% 1382400 138240000    7.1 MFlops 
                                                [1030] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.56062  0.0% 1382400 0    0.0 MFlops 
                                          [404] ebforall_i 5.92009  0.1% 1382400 0    0.0 MFlops 
                                             [414] protoForall_i 5.23188  0.1% 1382400 0    0.0 MFlops 
                                                [528] BoxData::makevars_i 3.12199  0.1% 1382400 0    0.0 MFlops 
                                                   [548] indexer_i 2.70331  0.1% 1382400 0    0.0 MFlops 
                                       [256] sgmglevel::vcycle 18.16728  0.4% 2700 84672000    4.7 MFlops 
                                          [260] EBPoissonOp::relax 18.11315  0.4% 5400 84672000    4.7 MFlops 
                                             [318] EBPoissonOp::residual 11.05888  0.3% 345600 50112000    4.5 MFlops 
                                                [422] BoxData::setVal 4.91718  0.1% 345600 34560000    7.0 MFlops 
                                                   [430] BoxData::operator 4.86517  0.1% 345600 34560000    7.1 MFlops 
                                                      [1589] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.14156  0.0% 345600 0    0.0 MFlops 
                                                [440] EBMultigrid::applyOp 4.64676  0.1% 345600 15552000    3.3 MFlops 
                                                   [584] EBLevelBoxData::exchange 2.30548  0.1% 345600 0    0.0 MFlops 
                                                      [595] EBLevelBoxData::exchangeCPUOnly 2.26255  0.1% 345600 0    0.0 MFlops 
                                                         [836] DistributedData constructor 0.99882  0.0% 345600 0    0.0 MFlops 
                                                         [931] DistributedData::exchange 0.71076  0.0% 345600 0    0.0 MFlops 
                                                   [758] ebforall_i 1.16215  0.0% 345600 0    0.0 MFlops 
                                                      [816] protoForall_i 1.04096  0.0% 345600 0    0.0 MFlops 
                                                         [973] BoxData::makevars_i 0.63576  0.0% 345600 0    0.0 MFlops 
                                                   [1213] EBStencil::apply 0.35646  0.0% 345600 15552000   43.6 MFlops 
                                                      [1264] EBStencil::applyITZ 0.30931  0.0% 345600 15552000   50.3 MFlops 
                                                         [1427] AggSten::apply 0.20827  0.0% 345600 15552000   74.7 MFlops 
                                                [881] ebforall 0.84961  0.0% 345600 0    0.0 MFlops 
                                                   [920] forallInPlaceBase 0.74506  0.0% 345600 0    0.0 MFlops 
                                                      [944] protoForall 0.68268  0.0% 345600 0    0.0 MFlops 
                                                         [1171] BoxData::makevars 0.40387  0.0% 345600 0    0.0 MFlops 
                                             [419] BoxData::setVal 4.95081  0.1% 345600 34560000    7.0 MFlops 
                                                [427] BoxData::operator 4.89946  0.1% 345600 34560000    7.1 MFlops 
                                                   [1584] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.14241  0.0% 345600 0    0.0 MFlops 
                                             [692] ebforall_i 1.44730  0.0% 345600 0    0.0 MFlops 
                                                [723] protoForall_i 1.28839  0.0% 345600 0    0.0 MFlops 
                                                   [910] BoxData::makevars_i 0.76291  0.0% 345600 0    0.0 MFlops 
                                                      [954] indexer_i 0.66207  0.0% 345600 0    0.0 MFlops 
                                       [1109] EBPoissonOp::prolong 0.48969  0.0% 2700 3628800    7.4 MFlops 
                                          [1111] EBPoissonOp::prolongAgglom 0.48693  0.0% 2700 3628800    7.5 MFlops 
                                             [1261] EBPoissonOp::prolong 0.31240  0.0% 2700 3628800   11.6 MFlops 
