-----------
Timer report 0 (861 timers)
--------------
[0] root 12.36497 100.0% 1 57056588    4.6 MFlops 
   [1] LevelGeometryService::LevelGeometryService 6.91072 55.9% 1 0    0.0 MFlops 
      [2] LevelGeometryService::defineFinestLevel 6.91052 55.9% 1 0    0.0 MFlops 
         [3] LevelGeometryService::fillGraph 6.85144 55.4% 16 0    0.0 MFlops 
            [4] boxiterator loop 6.27048 50.7% 16 0    0.0 MFlops 
               [5] ifdata constructor 2 5.55589 44.9% 23104 0    0.0 MFlops 
                  [6] ifdata::setNormalDerivatives 5.30803 42.9% 23104 0    0.0 MFlops 
                           [745] ~Copier 0.00001  0.0% 56 0    0.0 MFlops 
                           [790] ~BoxLayoutData 0.00000  0.0% 56 0    0.0 MFlops 
                           [797] ~LevelData 0.00000  0.0% 56 0    0.0 MFlops 
                        [56] EBStencil::apply 0.17373  1.4% 1792 9936192   57.2 MFlops 
                           [57] EBStencil::applyITZ 0.17352  1.4% 1792 9936192   57.3 MFlops 
                              [59] Stencil::apply 0.16541  1.3% 5376 7096320   42.9 MFlops 
                              [310] AggSten::apply 0.00667  0.1% 1344 2839872  425.5 MFlops 
                        [69] ebforall 0.14530  1.2% 1792 0    0.0 MFlops 
                           [88] irreg_forall 0.09864  0.8% 1792 0    0.0 MFlops 
                           [143] regular_forall 0.04625  0.4% 1792 0    0.0 MFlops 
                              [144] forallInPlaceBase 0.04595  0.4% 1792 0    0.0 MFlops 
                     [89] ebforall 0.09703  0.8% 1792 0    0.0 MFlops 
                        [110] irreg_forall 0.06775  0.5% 1792 0    0.0 MFlops 
                        [165] regular_forall 0.02889  0.2% 1792 0    0.0 MFlops 
                           [166] forallInPlaceBase 0.02862  0.2% 1792 0    0.0 MFlops 
                  [47] ebforall gsrb bit 0.19609  1.6% 112 0    0.0 MFlops 
                     [49] ebforall_i 0.19438  1.6% 1792 0    0.0 MFlops 
                        [76] irreg_forall_i 0.12981  1.0% 1792 0    0.0 MFlops 
                        [115] regular_forall_i 0.06416  0.5% 1792 0    0.0 MFlops 
               [15] sgmglevel::vcycle 0.80009  6.5% 7 5329156    6.7 MFlops 
